StichtagDatJahr,HalterId,AlterV10Cd,AlterV10Lang,AlterV10Sort,SexCd,SexLang,SexSort,KreisCd,KreisLang,KreisSort,QuarCd,QuarLang,QuarSort,Rasse1Text,Rasse2Text,RasseMischlingCd,RasseMischlingLang,RasseMischlingSort,RassentypCd,RassentypLang,RassentypSort,GebDatHundJahr,AlterVHundCd,AlterVHundLang,AlterVHundSort,SexHundCd,SexHundLang,SexHundSort,HundefarbeText,AnzHunde
2021,19105,40,40- bis 49-Jährige,5,1,männlich,1,3,Kreis 3,3,33,Friesenberg,33,Appenzeller Sennenhund,Labrador Retriever,2,"Mischling, beide Rassen bekannt",2,I,Rassentypenliste I,2,2020,0,0-Jährige,0,2,weiblich,2,schwarz,1
2021,19225,70,70- bis 79-Jährige,8,2,weiblich,2,12,Kreis 12,12,122,Schwamendingen-Mitte,122,Neufundländer,,1,Rassehund,1,I,Rassentypenliste I,2,2016,4,4-Jährige,4,1,männlich,1,braun/weiss,1
2021,19379,40,40- bis 49-Jährige,5,2,weiblich,2,11,Kreis 11,11,115,Oerlikon,115,Labrador Retriever,Unbekannt,3,"Mischling, sekundäre Rasse unbekannt",3,I,Rassentypenliste I,2,2020,0,0-Jährige,0,2,weiblich,2,schwarz/weiss,1
2021,19652,60,60- bis 69-Jährige,7,2,weiblich,2,2,Kreis 2,2,24,Enge,24,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,K,Kleinwüchsig,1,2007,13,13-Jährige,13,2,weiblich,2,braun,1
2021,19900,50,50- bis 59-Jährige,6,2,weiblich,2,5,Kreis 5,5,51,Gewerbeschule,51,Deutscher Kleinspitz,,1,Rassehund,1,K,Kleinwüchsig,1,2015,5,5-Jährige,5,1,männlich,1,braun/schwarz,1
2021,20949,60,60- bis 69-Jährige,7,1,männlich,1,11,Kreis 11,11,111,Affoltern,111,Shiba Inu,Unbekannt,3,"Mischling, sekundäre Rasse unbekannt",3,K,Kleinwüchsig,1,2014,6,6-Jährige,6,2,weiblich,2,beige,1
2021,21002,70,70- bis 79-Jährige,8,1,männlich,1,7,Kreis 7,7,71,Fluntern,71,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,I,Rassentypenliste I,2,2011,9,9-Jährige,9,1,männlich,1,creme,1
2021,21248,40,40- bis 49-Jährige,5,1,männlich,1,3,Kreis 3,3,34,Sihlfeld,34,Kleiner Münsterländer,,1,Rassehund,1,I,Rassentypenliste I,2,2019,1,1-Jährige,1,2,weiblich,2,braun/weiss,1
2021,21793,60,60- bis 69-Jährige,7,2,weiblich,2,11,Kreis 11,11,115,Oerlikon,115,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,K,Kleinwüchsig,1,2014,6,6-Jährige,6,2,weiblich,2,schwarz,1
2021,21828,70,70- bis 79-Jährige,8,2,weiblich,2,7,Kreis 7,7,74,Witikon,74,Spitz,Unbekannt,3,"Mischling, sekundäre Rasse unbekannt",3,K,Kleinwüchsig,1,2013,7,7-Jährige,7,1,männlich,1,weiss/beige,1
2021,21853,50,50- bis 59-Jährige,6,2,weiblich,2,3,Kreis 3,3,31,Alt-Wiedikon,31,Deutscher Schäfer,,1,Rassehund,1,I,Rassentypenliste I,2,2015,5,5-Jährige,5,1,männlich,1,schwarz,1
2021,21865,70,70- bis 79-Jährige,8,1,männlich,1,6,Kreis 6,6,61,Unterstrass,61,Foxterrier,,1,Rassehund,1,K,Kleinwüchsig,1,2017,3,3-Jährige,3,1,männlich,1,schwarz/weiss,1
2021,22186,40,40- bis 49-Jährige,5,1,männlich,1,8,Kreis 8,8,82,Mühlebach,82,Labrador Retriever,Border Collie,2,"Mischling, beide Rassen bekannt",2,I,Rassentypenliste I,2,2009,11,11-Jährige,11,1,männlich,1,schwarz,1
2021,22378,50,50- bis 59-Jährige,6,1,männlich,1,7,Kreis 7,7,72,Hottingen,72,Kooikerhondje,,1,Rassehund,1,K,Kleinwüchsig,1,2010,10,10-Jährige,10,2,weiblich,2,weiss/orange,1
2021,22750,60,60- bis 69-Jährige,7,1,männlich,1,2,Kreis 2,2,21,Wollishofen,21,Jack Russel Terrier,,1,Rassehund,1,K,Kleinwüchsig,1,2013,7,7-Jährige,7,2,weiblich,2,weiss/braun,1
